Model,City,Year,Mileage,FuelType,Transmission,Color,Assembly,EngineCapacity,Price
Alto VXR,Karachi,2021,1 - 165000,Petrol,Manual,Silky Silver,Local,660,1850000 - 2689999
Alto VXR,Lahore,2019,1 - 165000,Petrol,Manual,Silver,Local,660,1850000 - 2689999
Alto VXR,Lahore,2021,1 - 165000,Petrol,Manual,Silky Silver,Local,660,1850000 - 2689999
Alto VXR,Lahore,2021,1 - 165000,Petrol,Manual,Solid White,Local,660,1850000 - 2689999
Alto VXR,Lahore,2021,1 - 165000,Petrol,Manual,Silver,Local,660,1850000 - 2689999
Alto X,Karachi,2015,1 - 165000,Petrol,Automatic,White,Imported,660,1850000 - 2689999
Alto X,Rawalpindi,2017,1 - 165000,Petrol,Automatic,White,Imported,660,2690000 - 3529999
Alto X,Rawalpindi,2021,1 - 165000,Petrol,Automatic,White,Imported,660,3530000 - 4369999
Cultus,Islamabad,2016,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus,Islamabad,2017,1 - 165000,Petrol,Manual,Gold,Local,1000,1010000 - 1849999
Cultus,Islamabad,2019,1 - 165000,Petrol,Automatic,White,Local,1000,2690000 - 3529999
Cultus,Islamabad,2019,1 - 165000,Petrol,Automatic,Silky Silver,Local,1000,2690000 - 3529999
Cultus,Karachi,2016,1 - 165000,Petrol,Manual,Silky Silver,Local,1000,1010000 - 1849999
Cultus,Karachi,2016,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus,Karachi,2016,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus,Karachi,2017,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus,Karachi,2019,1 - 165000,Petrol,Automatic,Silky Silver,Local,1000,2690000 - 3529999
Cultus,Karachi,2020,1 - 165000,Petrol,Automatic,White,Local,1000,2690000 - 3529999
Cultus,Lahore,2016,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Cultus,Lahore,2016,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Cultus,Lahore,2017,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Cultus,Lahore,2019,1 - 165000,Petrol,Automatic,Grey,Local,1000,2690000 - 3529999
Cultus EURO II,Islamabad,2014,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Cultus EURO II,Islamabad,2015,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Islamabad,2015,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Islamabad,2015,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2013,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2013,1 - 165000,Petrol,Manual,Green,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2013,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2014,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2014,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2014,1 - 165000,Petrol,Manual,Silky Silver,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2014,1 - 165000,Petrol,Manual,Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2015,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2015,1 - 165000,Petrol,Manual,Maroon,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2015,1 - 165000,Petrol,Manual,Pearl Red,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2015,1 - 165000,Petrol,Manual,Sand Beige,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2016,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Karachi,2016,1 - 165000,Petrol,Manual,Silky Silver,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2013,1 - 165000,Petrol,Manual,Metallic Green,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2013,1 - 165000,Petrol,Manual,Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2013,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2013,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2014,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2014,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2015,1 - 165000,Petrol,Manual,Grey,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2015,1 - 165000,Petrol,Manual,Solid White,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2015,1 - 165000,Petrol,Manual,Silky Silver,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2015,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Cultus EURO II,Lahore,2015,1 - 165000,Petrol,Manual,Sand Beige,Local,1000,1010000 - 1849999
